openstates_person_id,name,district,Party,HB238 - Labor Rights,HB75 Legalizing Marijuana,HB521 Voter Protection,HB115-Public School Funding (Vouchers),HB675 - School Funding Cap,HB583 - Reducing Child Hunger,HB148 - LGBTQ Rights,HB433 -Child Marriage,HCR4 - Environment (Wind Power),HCR- Reproductive Freedom,HB1 - State Funding Bill,HB2 - Budget Trailer (All the Policy Stuff),HB22 - Protecting Trans People,HB23 - Vaccinations,HB24 - Gun Control,HB25 - The Dems Budget Proposal,HB26 - School Budget Cap Repeal,HB27 - Family Planning Services,HB28 - Child Advocacy Services (Intervening in Child Neglect/Abuse),HB29 - Medicaid,HB210 - Supporting the Arts,HB211 - Public School Funding,HB212 - Higher Ed Funding,HB213 - Dealing with the Opioid Crisis,HB214 Public School Funding,HB215 - Human Rights Commission
ocd-person/c614a6b4-5a2b-46ca-89c0-1ff666aef92a,David Nagel,BEL 6,Republican,Pro-Labor Vote,Anti-Weed Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Against Child Marriage Vote,Did Not Vote,Did Not Vote,Pro-State Funding,Anti-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Anti-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Anti-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/09308be5-c800-42a8-b0bf-afbc877ab976,David Paige,CAR 1,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/d347f91a-d60c-48a2-b78b-8e387e7b38a1,David Preece,HIL 17,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/91c36b59-79ca-4370-b855-43c3d1c78b61,David Walker,STR 19,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/8015d8e4-78cd-41a5-93f9-f6a704910c2f,Deborah Aylward,MER 5,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/7ef7472f-0bda-4708-9239-76adeca1e87e,Debra DeSimone,ROC 18,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/72264eda-ca33-468c-bc9d-f745c55bce68,Denis Murphy,CHE 11,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/579982ee-0c20-4345-a08d-777f6723e67c,Denise DeDe-Poulin,STR 6,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Did Not Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/d6200a81-3d99-4ff7-93e0-e2f3b49cfd65,Dennis Malloy,ROC 24,Democrat,Pro-Labor Vote,Anti-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/4568bf8a-b56b-43ec-a00f-718341eb6cb9,Dennis Mannion,ROC 25,Republican,Did Not Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/592ab77a-caf9-4132-ba45-effb3ecb012e,Diane Kelley,HIL 32,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Pro-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/7cc1d333-efac-47fb-a109-98113c762790,Diane Pauer,HIL 36,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/47c165c7-ecd9-4b88-b9f7-2e58e8e290d4,Dick Ames,CHE 13,Democrat,Pro-Labor Vote,Anti-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/5e1bcd9f-9dd0-46b1-8c7f-b9e84bbba8e7,Dick Thackston,CHE 12,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Did Not Vote,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/8be0bff9-f1a4-410d-9177-0080a7c40f0a,Dillon Dumont,HIL 13,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/74ae3ef0-c1f3-48ce-a5a6-c9bc4661bf08,Donald Bouchard,HIL 24,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/538f12b2-0914-4107-9b08-6f498e7eec66,Donald McFarlane,GRA 18,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,Against Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/3d27678e-e5ec-4ba7-989d-3e4d50245fff,Donald Selby,ROC 9,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Did Not Vote,For Child Marriage Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote
ocd-person/5db11498-80a8-4136-9c50-2c7f1a2f6826,Douglas Thomas,ROC 16,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/464c15d2-0b67-47e6-8c0a-fc556b336d4a,Douglas Trottier,BEL 8,Republican,Pro-Labor Vote,Pro-Weed Vote,Did Not Vote,Did Not Vote,Did Not Vote,Anti-Reducig Child Hunger Vote,Did Not Vote,For Child Marriage Vote,Did Not Vote,Anti-Abortion Vote,Pro-State Funding,Did Not Vote,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote
ocd-person/31e633fb-0fd5-43e8-8a18-2bd0c1d6bca9,Dru Fox,CHE 2,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/45e12918-c6a3-4874-be9e-fe9b44029c43,Dylan Germana,CHE 1,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/3ffd7496-524f-40b6-92d8-0e932f002a90,Efstathia Booras,HIL 8,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Did Not Vote,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,Did Not Vote,Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/956f70c5-6a5c-455f-b17d-c25f04b25db1,Eileen Kelly,MER 8,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/3b5abb0c-bfa9-4dfb-a84d-a60f7d3f8bc7,Eleana Colby,MER 9,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote
ocd-person/77304532-17fb-4b2c-aed6-213a435e4a46,Ellen Read,ROC 10,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/194a44fa-ae6e-4f8a-80fa-1ba652df02ba,Ellen Rockmore,GRA 12,Democrat,Pro-Labor Vote,Anti-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/a8e2dc1d-b828-475a-92d4-373129360dcb,Eric Gallager,MER 20,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/fa004123-5b0b-4019-8f74-8c43570c388c,Eric Turer,ROC 6,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/cd3ca080-a00e-4ad2-a5c4-897d8939c32b,Erica de Vries,ROC 29,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Did Not Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/94df7a3f-b27d-42c1-9ecc-1ebdc707c9ae,Erica Layon,ROC 13,Republican,Anti-Labor Vote,Pro-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/5a468f0d-8baf-47e9-92da-2db62373030f,Erik Johnson,STR 11,Democrat,Pro-Labor Vote,Did Not Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/b30166c7-822f-4680-9aa0-0b62e3caf9bd,Erin Kerwin,HIL 40,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/6e5dc279-9e21-4971-9d63-eaf55886db57,Ernesto Gonzalez,MER 3,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/0119879d-c522-4d71-992d-936a57389093,Fred Davis,HIL 3,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
,Fred Doucette,ROC 25,Republican,Anti-Labor Vote,Anti-Weed Vote,,,,Anti-Reducig Child Hunger Vote,,,,,,,,,,,,,,,,,,,,
